"DESCRIPTION_ID","DATE_CREATED","DATE_MODIFIED","UPDT_ID","DESCRIPTION","NAME","TITLE","LANGUAGE_ID","ZONE_ID"
"251","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","A Corua","NULL","2","27"
"252","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Appenzell Innerrhoden","NULL","1","28"
"253","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Appenzell Innerrhoden","NULL","2","28"
"254","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alaska","NULL","1","29"
"255","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alaska","NULL","2","29"
"256","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Caceres","NULL","1","30"
"257","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Caceres","NULL","2","30"
"258","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Segovia","NULL","1","31"
"259","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Segovia","NULL","2","31"
"260","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alabama","NULL","1","32"
"261","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alabama","NULL","2","32"
"262","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Middle East","NULL","1","33"
"263","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Middle East","NULL","2","33"
"264","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Zug","NULL","1","34"
"265","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Zug","NULL","2","34"
"266","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Malaga","NULL","1","35"
"267","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Malaga","NULL","2","35"
"268","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Zrich","NULL","1","36"
"269","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Zrich","NULL","2","36"
"270","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","La Rioja","NULL","1","37"
"271","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","La Rioja","NULL","2","37"
"272","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Pacific","NULL","1","38"
"273","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Armed Forces Pacific","NULL","2","38"
"274","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Melilla","NULL","1","39"
"275","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Melilla","NULL","2","39"
"276","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Arkansas","NULL","1","40"
"277","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Arkansas","NULL","2","40"
"278","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","American Samoa","NULL","1","41"
"279","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","American Samoa","NULL","2","41"
"280","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","New South Wales","NULL","1","42"
"281","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Nouvelle-Galles du Sud","NULL","2","42"
"282","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Madrid","NULL","1","43"
"283","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Madrid","NULL","2","43"
"284","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Rhode Island","NULL","1","44"
"285","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Rhode Island","NULL","2","44"
"286","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Arizona","NULL","1","45"
"287","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Arizona","NULL","2","45"
"288","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Ceuta","NULL","1","46"
"289","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Ceuta","NULL","2","46"
"290","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","British Columbia","NULL","1","47"
"291","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Columbie Britanique","NULL","2","47"
"292","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Huelva","NULL","1","48"
"293","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Huelva","NULL","2","48"
"294","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Bern","NULL","1","49"
"295","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Bern","NULL","2","49"
"296","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Huesca","NULL","1","50"
"297","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Huesca","NULL","2","50"
"298","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Appenzell Ausserrhoden","NULL","1","51"
"299","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Appenzell Ausserrhoden","NULL","2","51"
"300","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Basel-Landschaft","NULL","1","52"
"301","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Basel-Landschaft","NULL","2","52"
"302","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Jura","NULL","1","53"
"303","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Jura","NULL","2","53"
"304","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Asturias","NULL","1","54"
"305","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Asturias","NULL","2","54"
"306","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","South Australia","NULL","1","55"
"307","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Australie-Mridionale","NULL","2","55"
